species;scenario;rbf;svm;consensus;wmean_auc;wmean_tss
clssm_mcrp;gg_ssp245_10_2090;0.725;0.725;0.725;0.5846702083333334;0.4049185416666667
clssm_mcrp;gg_ssp245_10_2090;0.725;0.175;0.44999999999999996;0.43590437499999996;0.298896875
clssm_mcrp;gg_ssp245_10_2090;1;0.475;0.7375;0.6644379166666666;0.4573058333333333
clssm_mcrp;gg_ssp245_10_2090;0.975;0.3;0.6375;0.603704375;0.414428125
clssm_mcrp;gg_ssp245_10_2090;0.1;0;0.05;0.053595833333333336;0.036574166666666665
clssm_mcrp;gg_ssp245_10_2090;0.1;0;0.05;0.053595833333333336;0.036574166666666665
clssm_mcrp;gg_ssp245_10_2090;0.325;0.05;0.1875;0.18771062500000002;0.128504375
clssm_mcrp;gg_ssp245_10_2090;0.725;0.2;0.4625;0.44266645833333335;0.30371604166666666
clssm_mcrp;gg_ssp245_10_2090;0;0;0;0;0
clssm_mcrp;gg_ssp245_10_2090;0;0;0;0;0
clssm_mcrp;gg_ssp245_10_2090;0;0;0;0;0
clssm_mcrp;gg_ssp245_10_2090;0;0;0;0;0
clssm_mcrp;gg_ssp245_10_2090;0;0;0;0;0
clssm_mcrp;gg_ssp245_10_2090;0.425;0.75;0.5875;0.4306447916666667;0.30001520833333334
clssm_mcrp;gg_ssp245_10_2090;0.525;0.1;0.3125;0.3084264583333333;0.21129104166666668
clssm_mcrp;gg_ssp245_10_2090;0.975;0.325;0.65;0.6104664583333334;0.4192472916666667
clssm_mcrp;gg_ssp245_10_2090;1;0.725;0.8625;0.7320587500000001;0.5054975
clssm_mcrp;gg_ssp245_10_2090;0.975;0.725;0.85;0.7186597916666667;0.49635395833333334
clssm_mcrp;gg_ssp245_10_2090;0.175;0.025;0.09999999999999999;0.10055479166666666;0.06882395833333332
clssm_mcrp;gg_ssp245_10_2090;0.225;0.05;0.1375;0.13411479166666665;0.09193020833333333
clssm_mcrp;gg_ssp245_10_2090;0.2;0.15;0.175;0.14776416666666667;0.10206333333333334
clssm_mcrp;gg_ssp245_10_2090;0.45;0.4;0.42500000000000004;0.3493745833333333;0.24169041666666669
clssm_mcrp;gg_ssp245_10_2090;0.05;0;0.025;0.026797916666666668;0.018287083333333332
clssm_mcrp;gg_ssp245_10_2090;0.125;0.075;0.1;0.08728104166666667;0.06017520833333334
clssm_mcrp;gg_ssp245_10_2090;0.05;0.025;0.037500000000000006;0.03356;0.023106250000000005
clssm_mcrp;gg_ssp245_10_2090;0.05;0.025;0.037500000000000006;0.03356;0.023106250000000005
clssm_mcrp;gg_ssp245_10_2090;0;0;0;0;0
clssm_mcrp;gg_ssp245_10_2090;0;0;0;0;0
clssm_mcrp;gg_ssp245_10_2090;0;0;0;0;0
clssm_mcrp;gg_ssp245_10_2090;0;0;0;0;0
clssm_mcrp;gg_ssp245_10_2090;0;0;0;0;0
clssm_mcrp;gg_ssp245_10_2090;0;0;0;0;0
clssm_mcrp;gg_ssp245_10_2090;0;0.025;0.0125;0.006762083333333334;0.004819166666666667
clssm_mcrp;gg_ssp245_10_2090;0.875;0.75;0.8125;0.6718260416666667;0.46459895833333337
clssm_mcrp;gg_ssp245_10_2090;0.925;0.35;0.6375;0.590430625;0.405779375
clssm_mcrp;gg_ssp245_10_2090;1;0.725;0.8625;0.7320587500000001;0.5054975
clssm_mcrp;gg_ssp245_10_2090;0.975;0.7;0.8374999999999999;0.7118977083333332;0.49153479166666664
clssm_mcrp;gg_ssp245_10_2090;0.975;0.8;0.8875;0.7389460416666666;0.5108114583333334
clssm_mcrp;gg_ssp245_10_2090;0.7;0.525;0.6125;0.5171745833333333;0.3572216666666666
clssm_mcrp;gg_ssp245_10_2090;0.95;1;0.975;0.77964375;0.54022125
clssm_mcrp;gg_ssp245_10_2090;0.625;0.825;0.725;0.5581227083333334;0.3876210416666666
clssm_mcrp;gg_ssp245_10_2090;0.025;0.025;0.025;0.020161041666666667;0.013962708333333332
clssm_mcrp;gg_ssp245_10_2090;0.025;0;0.0125;0.013398958333333334;0.009143541666666666
clssm_mcrp;gg_ssp245_10_2090;0;0;0;0;0
clssm_mcrp;gg_ssp245_10_2090;0.1;0.075;0.0875;0.07388208333333333;0.05103166666666667
clssm_mcrp;gg_ssp245_10_2090;0.225;0.575;0.39999999999999997;0.27611854166666666;0.19313270833333332
clssm_mcrp;gg_ssp245_10_2090;0.225;0.225;0.225;0.181449375;0.12566437500000002
clssm_mcrp;gg_ssp245_10_2090;0.225;0.15;0.1875;0.161163125;0.111206875
clssm_mcrp;gg_ssp245_10_2090;0.075;0.025;0.05;0.046958958333333335;0.032249791666666666
clssm_mcrp;gg_ssp245_10_2090;0;0;0;0;0
clssm_mcrp;gg_ssp245_10_2090;0.025;0;0.0125;0.013398958333333334;0.009143541666666666
clssm_mcrp;gg_ssp245_10_2090;0.05;0;0.025;0.026797916666666668;0.018287083333333332
clssm_mcrp;gg_ssp245_10_2090;0;0;0;0;0
clssm_mcrp;gg_ssp245_10_2090;0;0.05;0.025;0.013524166666666669;0.009638333333333334
clssm_mcrp;gg_ssp245_10_2090;0.35;0.05;0.19999999999999998;0.20110958333333331;0.13764791666666665
clssm_mcrp;gg_ssp245_10_2090;0.4;0.2;0.30000000000000004;0.26848;0.18485000000000004
clssm_mcrp;gg_ssp245_10_2090;0.95;0.875;0.9125;0.7458333333333332;0.5161254166666667
clssm_mcrp;gg_ssp245_10_2090;0.95;0.525;0.7375;0.6511641666666667;0.4486570833333334
clssm_mcrp;gg_ssp245_10_2090;0.625;0.25;0.4375;0.40259479166666673;0.27678020833333333
clssm_mcrp;gg_ssp245_10_2090;1;0.8;0.9;0.752345;0.519955
clssm_mcrp;gg_ssp245_10_2090;1;1;1;0.8064416666666667;0.5585083333333333
clssm_mcrp;gg_ssp245_10_2090;0.95;1;0.975;0.77964375;0.54022125
clssm_mcrp;gg_ssp245_10_2090;0.55;0.775;0.6625000000000001;0.5044016666666666;0.3505520833333334
clssm_mcrp;gg_ssp245_10_2090;0.025;0;0.0125;0.013398958333333334;0.009143541666666666
clssm_mcrp;gg_ssp245_10_2090;0.575;0.5;0.5375;0.44341770833333327;0.3066847916666667
clssm_mcrp;gg_ssp245_10_2090;0.6;0.275;0.4375;0.3959579166666667;0.27245583333333334
clssm_mcrp;gg_ssp245_10_2090;0.075;0.025;0.05;0.046958958333333335;0.032249791666666666
clssm_mcrp;gg_ssp245_10_2090;0.3;0.3;0.3;0.2419325;0.1675525
