"","cell_id","next_down","main_riv","length_km","dist_dn_km","dist_up_km","catch_skm","upland_skm","dis_av_cms","ord_stra","ord_clas","ord_flow","x_centroid","y_centroid","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"384",583,60686066.6244131,60443230,1.92422535211268,2255.73145539906,99.9347417840376,4.40446009389671,2870.95962441315,142.829774647887,4.53990610328638,3.01408450704225,4.74647887323944,-6350000,-550000,29.1825011571248,9.30032351811727,76.58099416097,55.5289047241211,35.9805389404297,23.8366104761759,12.1439284006755,28.9778604507446,29.4140312830607,29.9537528355916,28.7380786895752,2404.68696289063,305.122492472331,98.8855092366536,36.3189122517904,838.830725097656,306.322714233398,437.34944152832,470.498204549154
"385",584,60683232.230303,60443230,2.21939393939394,1999.55696969697,143.128484848485,5.46363636363636,4862.25090909091,226.122163636364,4.91515151515152,2.73333333333333,4.56969696969697,-6250000,-550000,29.2461554391044,9.35141917637416,79.3359414236886,50.8552062988281,35.6878036499023,23.9020716530936,11.7857316970825,29.0331174577986,29.5094416482108,29.9801771981376,28.7898005349295,2146.86616908482,263.318616594587,82.7656463623047,37.1679914202009,740.521065848214,270.381984601702,413.95789882115,427.723324148996
"386",585,60686191.4555556,60443230,2.41561111111111,1832.91944444444,251.781666666667,6.30161111111111,9532.87833333333,379.266738888889,5.20555555555556,2.65,4.16111111111111,-6150000,-550000,29.2104014714559,9.24159841537476,82.5155517578125,46.0894182840983,35.1367218017578,23.9351824442546,11.201539516449,29.0723549524943,29.4195742289225,29.8330581665039,28.7149588267008,2067.02969970703,246.895292154948,76.9106709798177,38.0157410939535,707.998234049479,254.847636413574,414.635180664062,434.439509073893
"387",586,60680215.4457831,60443230,2.72301204819277,1730.42469879518,642.39156626506,6.80024096385542,227074.792168675,11277.9288493976,4.90963855421687,2.48192771084337,4.3855421686747,-6050000,-550000,29.2437705357869,9.0544955889384,83.2895543416341,45.1777935028076,34.9446300506592,24.0712398529053,10.8733899434408,29.1430581410726,29.4152699152629,29.8351119995117,28.7532295862834,2287.70012207031,280.557536824544,86.0042421976725,38.5130683898926,804.762520345052,276.817035929362,452.052015177409,508.282045491536
"388",587,60688039.1504854,60443230,2.91800970873786,1652.25631067961,795.274757281553,6.84655339805825,150770.799514563,5435.28351941748,5.27669902912621,3.54854368932039,4.46601941747573,-5950000,-550000,29.4350090026855,8.80359010696411,81.7220423380534,48.0669906616211,35.1914535522461,24.4229100545247,10.7685436248779,29.2509017308553,29.6050807317098,30.1264514287313,29.0186623255412,2337.80917154948,277.209218343099,92.0484079996745,38.7936261494954,814.210260009766,281.130147298177,439.228679402669,533.445835367839
"389",588,60689231.2336956,60443230,2.47690217391304,1535.85815217391,210.00597826087,6.0195652173913,7102.07173913043,275.541293478261,5,3.82608695652174,4.28804347826087,-5850000,-550000,29.5017640431722,8.68686641057332,78.6963554382324,55.9354489644369,35.4673831939697,24.4270634333293,11.0403193473816,29.1059176762899,29.6952112833659,30.3450374603271,29.0362137476603,2159.71678466797,258.414309183757,78.242515818278,41.4653177897135,758.603826904297,245.685036722819,379.669381713867,728.845049031576
"390",589,60685580.8917749,60443230,2.67229437229437,1362.27748917749,1355.91818181818,6.87363636363636,403867.39004329,10148.6034069264,6.65367965367965,2.64935064935065,3.34199134199134,-5750000,-550000,29.5618068695068,8.6385667528425,76.7286285400391,63.7227723257882,35.6092706952776,24.3546837397984,11.2545866285052,29.0625609806606,29.7887404305594,30.5259236471994,29.0007541656494,1995.42805873326,247.959389822824,74.3108234950474,40.1752711704799,694.474530901228,241.641958182199,334.462216622489,692.533363560268
"391",590,60685035.7283237,60443230,2.75878612716763,1313.9289017341,283.850289017341,7.13791907514451,10150.1867052023,364.745092485549,5.36416184971098,3.45086705202312,4.38728323699422,-5650000,-550000,29.5781126658122,8.84598658879598,75.2842961629232,69.0563827514648,35.7962754567464,24.0462859471639,11.7499894460042,29.1235888799032,29.8016535441081,30.6049521128337,28.9511824289958,2152.25949707031,297.620424397786,71.9592964172363,48.7655137379964,824.105948893229,232.998980204264,330.844017537435,795.917563883464
"392",591,60687807.1835443,60443230,2.71367088607595,1206.64936708861,147.515189873418,6.73291139240506,5343.08607594937,193.014835443038,4.63291139240506,3.89873417721519,4.4620253164557,-5550000,-550000,29.3993751525879,8.98396765391032,74.8066637674967,72.7908996582031,35.766755549113,23.7545096715291,12.0122458775838,28.762114016215,29.7247997919718,30.4928284962972,28.7236012776693,2176.76891276042,301.980387369792,69.7652659098307,50.6903514862061,854.329264322917,231.193730672201,324.460510253906,844.270890299479
"393",592,60692061.7378641,60443230,2.96805825242718,973.604854368932,757.504854368932,7.7626213592233,165614.863106796,6362.05174757282,5.62135922330097,3.0873786407767,3.92233009708738,-5450000,-550000,29.10949122111,9.17512610753377,75.078734588623,75.4251693725586,35.649326578776,23.4214776992798,12.2278486887614,28.3951770782471,29.5407074610392,30.2161252975464,28.3890829722087,2004.90737711589,274.527596028646,64.4786571502686,48.4740366617839,790.27963663737,223.385808308919,306.386294555664,785.000524902344
"394",593,60680016.1287879,60443230,2.92787878787879,850.3,461.45,7.27537878787879,92462.3136363636,3517.99676515151,5.12878787878788,3.22727272727273,4.38636363636364,-5350000,-550000,28.4524769374302,9.44825330461775,76.1237280709403,72.8588025774275,35.1094371250698,22.6960809435163,12.4133554458618,27.8253174373082,28.8753679003034,29.514410345895,27.774443599156,1897.32395019531,278.601658412388,56.65869543893,53.4272965567453,783.097305733817,188.336126273019,273.824927193778,766.621960449219
"395",594,60691385.9571429,60443230,3.01842857142857,867.96,510.332857142857,8.90285714285714,63188.1442857143,1311.33387142857,5.62857142857143,3.44285714285714,3.95714285714286,-5250000,-550000,27.6719572703044,9.56484073003133,77.2192804972331,67.398353322347,34.2836218516032,21.8949462254842,12.3886759122213,27.0680281956991,28.0957974116007,28.6502581914266,27.0474214553833,1638.33743082682,265.996914164225,37.3183164596558,62.5649452209473,733.963586425781,127.484392293294,214.235994974772,721.804748535156
