"","cell_id","next_down","main_riv","length_km","dist_dn_km","dist_up_km","catch_skm","upland_skm","dis_av_cms","ord_stra","ord_clas","ord_flow","x_centroid","y_centroid","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"38",162,61203297.1538462,60443230,3.18978021978022,3673.83076923077,182.805494505494,8.96824175824176,9879.31978021978,93.1187912087912,4.8021978021978,3.26373626373626,4.67032967032967,-6450000,-1950000,26.4206414540609,10.4481642087301,65.3639806111654,157.238235473633,33.7266687393188,17.7442653973897,15.98240331014,27.576362546285,23.8184357325236,27.886600112915,24.1841133117676,2019.27249348958,309.238135782878,55.7175799051921,58.1395142873128,903.095686848958,182.103224690755,621.659814453125,229.79887491862
"39",163,61200143.8172043,60443230,3.46629032258064,3535.85268817204,97.2381720430108,8.80381720430107,1437.77634408602,51.533752688172,4.18279569892473,3.81182795698925,4.8763440860215,-6350000,-1950000,27.8806149164836,10.1865051269531,60.5702588399251,184.101595052083,35.3535146077474,18.5345715204875,16.8189427057902,29.1833936055501,26.3379196802775,29.5782565434774,25.2954436620076,2492.60960286458,402.506461588542,63.2311898549398,60.1232449849447,1124.33721720378,213.89175567627,742.227022298177,301.7537206014
"40",164,61201904.5513514,60443230,3.83627027027027,3591.66486486486,455.623243243243,9.99210810810811,33243.7383783784,684.593756756757,5.82702702702703,3.16756756756757,4.04324324324324,-6250000,-1950000,27.9906136648996,10.2559663772583,59.3688629150391,183.817753383092,35.7836776733398,18.4947560446603,17.2889214651925,29.0479509626116,25.5730388641357,29.7523306710379,25.3643926892962,2397.57951311384,393.805698067801,57.4869715009417,60.798299407959,1090.25661446708,203.152006748744,723.44928327288,291.998707798549
"41",165,61201340.6393443,60443230,6.06180327868852,3512.29344262295,532.952459016394,18.8175409836066,40515.4131147541,175.834885245902,5.40983606557377,4.16393442622951,4.60655737704918,-6150000,-1950000,28.0582455952962,10.2470606168111,59.3721052805583,177.884580993652,36.1759413401286,18.9157616297404,17.2601796468099,28.804160118103,26.7592236200968,29.9070444107056,25.5264844894409,1611.24627685547,270.510180155436,34.5388350804647,63.7622219085693,743.376354980469,129.942510986328,437.844125366211,184.425220235189
"42",166,61202166.6527778,60443230,4.13416666666667,3580.63055555556,169.447222222222,14.6395833333333,5034.91944444444,17.946625,4.43055555555556,5.84722222222222,5.30555555555556,-6050000,-1950000,27.516544787089,10.2484436353048,59.4313185373942,175.013521321615,35.7330904642741,18.49053662618,17.2425540288289,28.0320983250936,27.0195845286051,29.4605639775594,25.0399710337321,1179.14658203125,203.619391886393,18.8086026827494,67.7770097096761,551.519435628255,78.5463422139486,247.481522623698,116.639266459147
"43",167,61202239.1162791,60443230,3.95953488372093,3658.08372093023,129.460465116279,14.4279069767442,3480.01860465116,12.9550930232558,4,5.55813953488372,5.34883720930233,-5950000,-1950000,27.5156054814657,10.7532538414001,59.4698630015055,183.499166870117,36.0430591583252,17.9617274602254,18.0813310623169,27.9544551213582,24.9870074590047,29.6339194615682,24.9066067377726,1226.37143554688,216.540115356445,13.2515847841899,71.0989293416341,583.221563720703,66.6565737406413,256.567379760742,94.4396878560384
"44",168,61202056.4561404,60443230,4.51684210526316,3809.29122807018,155.80350877193,15.2033333333333,4328.79473684211,20.0259122807018,4.6140350877193,5.05263157894737,5.14035087719298,-5850000,-1950000,28.1498947143555,11.555651919047,60.3963455200195,192.440171305339,37.0721444447835,17.9389753977458,19.1331695556641,28.5850649515788,25.3124678293864,30.4343449274699,25.4373824437459,1360.33057454427,250.194481913249,12.6166987419128,73.7348424275716,659.761926269531,64.1625960032145,276.635846455892,92.944526163737
"45",169,61200084.2307692,60443230,4.77569230769231,3912.74769230769,157.409230769231,16.0903076923077,5982.21846153846,55.8859692307692,4.55384615384615,4.90769230769231,4.81538461538462,-5750000,-1950000,28.1098609924316,12.2628952571324,61.9118707929339,190.347573852539,37.2560905456543,17.446429334368,19.8096613202776,28.5282091413225,25.2845782143729,30.3491681235177,25.4354642595564,1532.76921386719,292.570313371931,16.1761167253767,74.6406169346401,748.677031598772,72.6852387564523,305.369774518694,105.109169442313
"46",185,61172162,60443230,3.69153846153846,5712.03846153846,62.0076923076923,16.6838461538462,1269.17692307692,15.2219230769231,4.23076923076923,4.15384615384615,5.15384615384615,-7150000,-1850000,9.62641898790995,15.3060179392497,75.5807062784831,119.177637736003,18.8729256947835,-1.42607164382935,20.298996925354,10.6544923941294,7.58488354682922,10.7087291717529,7.86642915407817,748.635194905599,190.20768661499,4.04672686258952,111.752426147461,516.731332906087,15.3952672719955,342.998929341634,15.3952672719955
"47",186,61172875.4285714,60443230,2.89392857142857,5609.44285714286,59.4607142857143,9.91321428571429,1267.52142857143,19.6788571428571,4,3.32142857142857,5.14285714285714,-7050000,-1850000,7.2703471660614,16.4282924969991,72.0548016866048,136.183164215088,17.4766593615214,-5.32998369137446,22.8066427866618,8.35694411595662,4.81571427583694,8.44916556676229,5.21793627738953,888.874595133464,211.874002075195,6.07381899356842,108.051905059814,603.989279174805,20.9944501241048,390.659303792318,20.9944501241048
"48",187,61179337.9009901,60443230,2.68693069306931,5738.77623762376,71.6415841584158,8.15960396039604,1404.25247524752,32.7886930693069,4.10891089108911,2.92079207920792,5.12871287128713,-6950000,-1850000,7.23871992429097,17.3958671569824,68.9467658996582,167.132264709473,18.2402502695719,-7.00146048069,25.2417107264201,8.62346124649048,4.28870652516683,8.68995598157247,4.76968075831731,936.808361816406,213.962744649251,4.13252417246501,106.153967539469,614.794834391276,14.8957202911377,437.05102335612,14.8957202911377
"49",188,61179115.75,60443230,2.690625,5761.26875,124.472916666667,7.73208333333333,4612.66666666667,95.5258333333333,5.14583333333333,2.39583333333333,4.5,-6850000,-1850000,8.11446078618368,17.7626152674357,68.669563293457,181.208452860514,19.0974442799886,-6.77966194152832,25.8771060307821,9.54770538012187,4.8521194934845,9.6568354288737,5.4668704589208,924.380584716797,200.008881123861,2.35297821760178,96.7105438232422,547.761658732096,12.3967086474101,493.16858215332,12.3967086474101
