"","cell_id","next_down","main_riv","length_km","dist_dn_km","dist_up_km","catch_skm","upland_skm","dis_av_cms","ord_stra","ord_clas","ord_flow","x_centroid","y_centroid","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"434",637,60579752.6163793,60443230,1.91181034482759,3312.33448275862,298.994396551724,4.08090517241379,11199.7142241379,658.495918103448,4.87931034482759,2.81034482758621,4.39655172413793,-6950000,-350000,31.305602868398,10.4695862929026,60.1224276224772,213.80646832784,42.1953605016073,24.7800632317861,17.4152971108754,29.2554027239482,34.6560788154602,34.4000520706177,29.4409128030141,2782.66498819987,399.743569691976,87.9824527104696,46.5324090321859,1080.23613484701,306.201309204102,373.389728546143,1044.73737589518
"435",638,60579944.6639344,60443230,2.10598360655738,3105.88073770492,286.676639344262,4.61061475409836,15005.5327868852,858.739967213115,4.81147540983607,3.3155737704918,4.36885245901639,-6850000,-350000,31.4496917724609,10.0487606922785,58.6305805842082,214.709178288778,42.3048308690389,25.1768087546031,17.1280224323273,29.8001321951548,34.7378635406494,34.5640370051066,29.5971228281657,2847.13409423828,427.837979634603,86.2740364074707,50.0450290044149,1144.70350138346,304.214492797852,364.98459370931,1075.22189839681
"436",639,60583708.9161074,60443230,2.08654362416107,2910.08657718121,649.197986577181,4.65345637583893,37455.9600671141,2162.52563422819,5.36912751677852,2.75503355704698,4.04362416107383,-6750000,-350000,31.5595924513681,9.83960172108242,58.0920904704503,218.80975832258,42.423034123012,25.4756430217198,16.9473910331726,30.1960469654628,34.8197881153652,34.7286524091448,29.6171312332153,2850.72487967355,418.610409327916,89.768319266183,50.1045338766915,1188.9098815918,303.217170715332,376.948316301618,990.2805720738
"437",640,60583501.4963235,60443230,1.97051470588235,2690.05772058824,608.166544117647,4.31036764705882,37196.9816176471,2190.64184926471,5.18382352941176,2.80147058823529,4.22426470588235,-6650000,-350000,31.3249224026998,10.3793814182281,59.145883401235,227.53918393453,42.4080503781637,24.8573486010234,17.5507016976674,29.9287646611532,34.5677762031555,34.5932750701904,29.2225449879964,3110.56682332357,447.663080851237,101.262419382731,47.5727845827738,1283.86166890462,332.127310434977,411.391409556071,996.152155558268
"438",641,60587278.1835938,60443230,2.0841796875,2522.47421875,912.420703125,4.655078125,199084.74765625,9893.53703125,5.46484375,2.37890625,4.09375,-6550000,-350000,31.4681466420492,10.605308453242,59.3798475265503,234.311045964559,42.6326580047607,24.7598776022593,17.8727803230286,30.0616203943888,34.7515686353048,34.8458960851034,29.2417995134989,2899.72515869141,432.320364634196,87.5005343755086,50.4894471168518,1195.53120422363,284.850371042887,349.656581878662,999.280954996745
"439",642,60582319.4259259,60443230,2.61196296296296,2371.22814814815,1113.72740740741,6.03688888888889,310772.305925926,14953.5535592593,6.07037037037037,2.24074074074074,3.8,-6450000,-350000,32.005165497462,10.4963484207789,59.0651604334513,238.702160517375,42.9760020573934,25.2033127943675,17.7726892630259,29.3829930623372,35.4119769732157,35.4191331863403,29.6718584696452,2789.23192342122,427.919817606608,84.8185081481934,52.719887415568,1169.57470194499,272.809151331584,319.165247599284,1020.62177530924
"440",643,60581220.0104167,60443230,2.48520833333333,2175.69236111111,1569.77395833333,5.69166666666667,426223.415972222,21101.7690763889,6.375,2.13541666666667,3.59375,-6350000,-350000,32.4203089078267,10.4381930828094,58.9283359845479,243.132521947225,43.184144337972,25.4660797913869,17.7180645465851,29.3675077756246,36.0256457328796,35.8968478838603,29.979620774587,2715.95084635417,458.89236831665,77.0362304051717,56.4706082344055,1189.96771240234,261.7282371521,298.632006327311,1050.23713429769
"441",644,60584412.7909408,60443230,1.96313588850174,2047.93972125436,992.586759581882,4.24334494773519,232669.723344948,13212.505369338,6.17421602787456,2.15331010452962,3.68292682926829,-6250000,-350000,32.6589400427682,10.3455697468349,59.024178641183,245.172284807478,43.1392935344151,25.5967655863081,17.542528288705,29.6298676218305,36.3554652077811,36.1678028106689,30.1402885573251,2836.05856759208,487.901697431292,74.0708945138114,57.5989112854004,1251.79432024275,274.04379599435,307.695355006627,1098.83535330636
"442",645,60582758.4497041,60443230,2.27242603550296,1947.34082840237,82.0189349112426,5.46556213017751,1690.49940828402,102.935171597633,4.49112426035503,2.83431952662722,4.66863905325444,-6150000,-350000,32.5167678197225,10.1365024646123,61.1442866325378,227.051329930623,42.130940914154,25.5226090749105,16.6083319981893,29.7561402320862,35.8797653516134,35.7329560915629,30.1111588478088,2324.6841023763,420.682337443034,65.2841620445251,59.2596785227458,1034.19130706787,216.334392547607,255.456884384155,935.031410217285
"443",646,60579321.5879397,60443230,1.99532663316583,1803.84924623116,91.4537688442211,4.77331658291457,2004.95628140703,95.1824673366834,4.5678391959799,3.78391959798995,4.5678391959799,-6050000,-350000,32.4574502309163,9.73940591017405,62.8352689743042,208.286870956421,41.202436765035,25.6961286067963,15.5063081582387,29.7561682065328,35.4832760492961,35.3109010060628,30.20183634758,2261.35284423828,424.022052764893,64.1236038208008,62.0107684135437,1034.45064798991,205.584933598836,251.727183659871,936.351559956869
"444",647,60583916.0550459,60443230,2.27036697247706,1603.18165137615,95.0844036697248,5.64256880733945,2789.90596330275,120.036275229358,4.76605504587156,3.08715596330275,4.59174311926605,-5950000,-350000,32.5033674240112,9.23295593261719,63.743732770284,194.120175043742,40.4974293708801,26.0117740631104,14.485654870669,30.3868942260742,34.8409075737,35.0293018023173,30.3495022455851,2254.60789998372,435.176616668701,60.262153784434,68.4948051770528,1092.06862894694,188.006054560343,216.130402882894,1022.87429300944
"445",648,60582397.8028846,60443230,2.44461538461538,1443.18076923077,745.154807692308,6.03533653846154,211769.186538462,8756.83146634615,5.89903846153846,3.01923076923077,3.79326923076923,-5850000,-350000,32.4393804868062,8.67178829511007,62.9992373784383,180.83313814799,40.0073051452637,26.2323648134867,13.7749403715134,30.3749284744263,34.6462626457214,34.7365845044454,30.2928359508514,2021.48436482747,403.624601999919,47.1990151405334,71.6499042510986,1009.03753662109,161.27862294515,180.993529637655,1003.45909118652
