species;scenario;rbf;svm;mda;consensus;wmean_auc;wmean_tss
clssm_mcrp;cc_ssp245_10_2090;0;0;0;0;0;0
clssm_mcrp;cc_ssp245_10_2090;0;0;0;0;0;0
clssm_mcrp;cc_ssp245_10_2090;0.05;0;0;0.016666666666666666;0.014619166666666667;0.011320833333333334
clssm_mcrp;cc_ssp245_10_2090;0;0;0;0;0;0
clssm_mcrp;cc_ssp245_10_2090;0;0;0;0;0;0
clssm_mcrp;cc_ssp245_10_2090;0;0;0;0;0;0
clssm_mcrp;cc_ssp245_10_2090;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;cc_ssp245_10_2090;0.05;0;0.025;0.025000000000000005;0.02163729166666667;0.016510416666666666
clssm_mcrp;cc_ssp245_10_2090;0;0;0;0;0;0
clssm_mcrp;cc_ssp245_10_2090;0.025;0;0.025;0.016666666666666666;0.014327708333333333;0.01085
clssm_mcrp;cc_ssp245_10_2090;0;0;0;0;0;0
clssm_mcrp;cc_ssp245_10_2090;0;0;0;0;0;0
clssm_mcrp;cc_ssp245_10_2090;0;0;0;0;0;0
clssm_mcrp;cc_ssp245_10_2090;0;0;0;0;0;0
clssm_mcrp;cc_ssp245_10_2090;0.25;0;0.025;0.09166666666666667;0.08011395833333333;0.06179375
clssm_mcrp;cc_ssp245_10_2090;0.1;0;0.025;0.041666666666666664;0.03625645833333333;0.027831250000000002
clssm_mcrp;cc_ssp245_10_2090;0;0;0.025;0.008333333333333333;0.007018125;0.005189583333333333
clssm_mcrp;cc_ssp245_10_2090;0;0;0;0;0;0
clssm_mcrp;cc_ssp245_10_2090;0;0;0;0;0;0
clssm_mcrp;cc_ssp245_10_2090;0;0;0.1;0.03333333333333333;0.0280725;0.020758333333333333
clssm_mcrp;cc_ssp245_10_2090;0.425;0.075;0.925;0.47500000000000003;0.4059285416666667;0.3053310416666667
clssm_mcrp;cc_ssp245_10_2090;0.15;0;0.325;0.15833333333333333;0.135093125;0.10142708333333333
clssm_mcrp;cc_ssp245_10_2090;0.325;0;0.2;0.17500000000000002;0.15116958333333333;0.11510208333333334
clssm_mcrp;cc_ssp245_10_2090;0.3;0;0.45;0.25;0.21404125;0.16133750000000002
clssm_mcrp;cc_ssp245_10_2090;0;0;0.025;0.008333333333333333;0.007018125;0.005189583333333333
clssm_mcrp;cc_ssp245_10_2090;0;0;0;0;0;0
clssm_mcrp;cc_ssp245_10_2090;0;0;0.2;0.06666666666666667;0.056145;0.04151666666666667
clssm_mcrp;cc_ssp245_10_2090;0.55;0.125;0.725;0.4666666666666666;0.40099479166666674;0.303509375
clssm_mcrp;cc_ssp245_10_2090;0.875;0.025;0.775;0.5583333333333333;0.48072895833333334;0.36468812500000003
