species;scenario;rbf;svm;consensus;wmean_auc;wmean_tss
clssm_mcrp;uk_ssp245_10_2090;0;0.05;0.025;0.013524166666666669;0.009638333333333334
clssm_mcrp;uk_ssp245_10_2090;0.025;0.025;0.025;0.020161041666666667;0.013962708333333332
clssm_mcrp;uk_ssp245_10_2090;0;0;0;0;0
clssm_mcrp;uk_ssp245_10_2090;0.025;0;0.0125;0.013398958333333334;0.009143541666666666
clssm_mcrp;uk_ssp245_10_2090;0;0;0;0;0
clssm_mcrp;uk_ssp245_10_2090;0;0;0;0;0
clssm_mcrp;uk_ssp245_10_2090;0;0;0;0;0
clssm_mcrp;uk_ssp245_10_2090;0;0;0;0;0
clssm_mcrp;uk_ssp245_10_2090;0;0.15;0.075;0.0405725;0.028915
clssm_mcrp;uk_ssp245_10_2090;0.675;0.15;0.41250000000000003;0.40234437500000003;0.275790625
clssm_mcrp;uk_ssp245_10_2090;0.925;0.075;0.5;0.5160477083333334;0.35276854166666666
clssm_mcrp;uk_ssp245_10_2090;1;0.05;0.525;0.5494825;0.37538
clssm_mcrp;uk_ssp245_10_2090;0.975;0.05;0.5125;0.5360835416666666;0.3662364583333333
clssm_mcrp;uk_ssp245_10_2090;0.95;0.05;0.5;0.5226845833333332;0.3570929166666667
clssm_mcrp;uk_ssp245_10_2090;0.55;0.025;0.28750000000000003;0.3015391666666667;0.20597708333333334
clssm_mcrp;uk_ssp245_10_2090;0.9;0.075;0.4875;0.50264875;0.343625
clssm_mcrp;uk_ssp245_10_2090;0.475;0.075;0.27499999999999997;0.2748664583333333;0.18818479166666666
clssm_mcrp;uk_ssp245_10_2090;0.05;0.05;0.05;0.040322083333333335;0.027925416666666664
clssm_mcrp;uk_ssp245_10_2090;0.025;0.025;0.025;0.020161041666666667;0.013962708333333332
clssm_mcrp;uk_ssp245_10_2090;0;0;0;0;0
clssm_mcrp;uk_ssp245_10_2090;0.05;0.05;0.05;0.040322083333333335;0.027925416666666664
clssm_mcrp;uk_ssp245_10_2090;0.15;0.175;0.16249999999999998;0.12772833333333333;0.08859541666666666
clssm_mcrp;uk_ssp245_10_2090;0.1;0.075;0.0875;0.07388208333333333;0.05103166666666667
clssm_mcrp;uk_ssp245_10_2090;0.1;0.05;0.07500000000000001;0.06712;0.04621250000000001
clssm_mcrp;uk_ssp245_10_2090;0.05;0;0.025;0.026797916666666668;0.018287083333333332
clssm_mcrp;uk_ssp245_10_2090;0;0;0;0;0
clssm_mcrp;uk_ssp245_10_2090;0.025;0;0.0125;0.013398958333333334;0.009143541666666666
clssm_mcrp;uk_ssp245_10_2090;0.05;0;0.025;0.026797916666666668;0.018287083333333332
clssm_mcrp;uk_ssp245_10_2090;0;0;0;0;0
clssm_mcrp;uk_ssp245_10_2090;0;0.15;0.075;0.0405725;0.028915
clssm_mcrp;uk_ssp245_10_2090;0.35;0.025;0.1875;0.19434749999999998;0.13282875
clssm_mcrp;uk_ssp245_10_2090;0.325;0.125;0.225;0.207996875;0.14296187500000002
clssm_mcrp;uk_ssp245_10_2090;0.95;0.075;0.5125;0.5294466666666665;0.36191208333333336
clssm_mcrp;uk_ssp245_10_2090;0.975;0.05;0.5125;0.5360835416666666;0.3662364583333333
clssm_mcrp;uk_ssp245_10_2090;0.725;0;0.3625;0.38856979166666666;0.26516270833333333
clssm_mcrp;uk_ssp245_10_2090;1;0.05;0.525;0.5494825;0.37538
clssm_mcrp;uk_ssp245_10_2090;1;0.075;0.5375;0.5562445833333333;0.3801991666666667
clssm_mcrp;uk_ssp245_10_2090;0.9;0.075;0.4875;0.50264875;0.343625
clssm_mcrp;uk_ssp245_10_2090;0.575;0.075;0.32499999999999996;0.32846229166666663;0.2247589583333333
clssm_mcrp;uk_ssp245_10_2090;0.05;0.05;0.05;0.040322083333333335;0.027925416666666664
clssm_mcrp;uk_ssp245_10_2090;0.425;0.1;0.2625;0.25483062500000003;0.174716875
clssm_mcrp;uk_ssp245_10_2090;0.45;0.075;0.2625;0.2614675;0.17904125
clssm_mcrp;uk_ssp245_10_2090;0.05;0.025;0.037500000000000006;0.03356;0.023106250000000005
clssm_mcrp;uk_ssp245_10_2090;0.175;0.075;0.125;0.11407895833333333;0.07846229166666667
clssm_mcrp;uk_ssp245_10_2090;0.175;0.075;0.125;0.11407895833333333;0.07846229166666667
clssm_mcrp;uk_ssp245_10_2090;0;0;0;0;0
clssm_mcrp;uk_ssp245_10_2090;0.25;0.075;0.1625;0.1542758333333333;0.10589291666666667
clssm_mcrp;uk_ssp245_10_2090;0.1;0.05;0.07500000000000001;0.06712;0.04621250000000001
clssm_mcrp;uk_ssp245_10_2090;0;0;0;0;0
clssm_mcrp;uk_ssp245_10_2090;0.025;0;0.0125;0.013398958333333334;0.009143541666666666
clssm_mcrp;uk_ssp245_10_2090;0.1;0;0.05;0.053595833333333336;0.036574166666666665
clssm_mcrp;uk_ssp245_10_2090;0.075;0.1;0.0875;0.06724520833333333;0.04670729166666667
clssm_mcrp;uk_ssp245_10_2090;0;0.05;0.025;0.013524166666666669;0.009638333333333334
clssm_mcrp;uk_ssp245_10_2090;0.425;0.1;0.2625;0.25483062500000003;0.174716875
clssm_mcrp;uk_ssp245_10_2090;0.925;0.175;0.55;0.5430960416666667;0.3720452083333334
clssm_mcrp;uk_ssp245_10_2090;1;0.15;0.575;0.5765308333333333;0.39465666666666666
clssm_mcrp;uk_ssp245_10_2090;0.95;0.075;0.5125;0.5294466666666665;0.36191208333333336
clssm_mcrp;uk_ssp245_10_2090;1;0.05;0.525;0.5494825;0.37538
clssm_mcrp;uk_ssp245_10_2090;0.975;0.05;0.5125;0.5360835416666666;0.3662364583333333
clssm_mcrp;uk_ssp245_10_2090;0.975;0.05;0.5125;0.5360835416666666;0.3662364583333333
clssm_mcrp;uk_ssp245_10_2090;1;0.1;0.55;0.5630066666666667;0.3850183333333333
clssm_mcrp;uk_ssp245_10_2090;0.4;0.1;0.25;0.24143166666666668;0.16557333333333335
clssm_mcrp;uk_ssp245_10_2090;0.05;0.025;0.037500000000000006;0.03356;0.023106250000000005
clssm_mcrp;uk_ssp245_10_2090;0.075;0.075;0.075;0.060483125;0.041888125
clssm_mcrp;uk_ssp245_10_2090;0.075;0.05;0.0625;0.053721041666666663;0.03706895833333334
clssm_mcrp;uk_ssp245_10_2090;0.575;0.075;0.32499999999999996;0.32846229166666663;0.2247589583333333
clssm_mcrp;uk_ssp245_10_2090;0.4;0.075;0.23750000000000002;0.23466958333333335;0.16075416666666667
clssm_mcrp;uk_ssp245_10_2090;0.125;0.025;0.075;0.073756875;0.050536875
clssm_mcrp;uk_ssp245_10_2090;0.175;0.075;0.125;0.11407895833333333;0.07846229166666667
clssm_mcrp;uk_ssp245_10_2090;0.175;0.075;0.125;0.11407895833333333;0.07846229166666667
clssm_mcrp;uk_ssp245_10_2090;0.575;0.075;0.32499999999999996;0.32846229166666663;0.2247589583333333
clssm_mcrp;uk_ssp245_10_2090;0.075;0;0.0375;0.040196875;0.027430625
clssm_mcrp;uk_ssp245_10_2090;0.05;0;0.025;0.026797916666666668;0.018287083333333332
clssm_mcrp;uk_ssp245_10_2090;0;0;0;0;0
clssm_mcrp;uk_ssp245_10_2090;0.3;0.3;0.3;0.2419325;0.1675525
clssm_mcrp;uk_ssp245_10_2090;0.625;0.325;0.475;0.4228810416666667;0.29123770833333334
clssm_mcrp;uk_ssp245_10_2090;0.15;0.15;0.15;0.12096625;0.08377625
clssm_mcrp;uk_ssp245_10_2090;0.425;0.2;0.3125;0.2818789583333333;0.19399354166666669
clssm_mcrp;uk_ssp245_10_2090;0.35;0.075;0.2125;0.20787166666666668;0.14246708333333333
clssm_mcrp;uk_ssp245_10_2090;0.975;0.075;0.525;0.542845625;0.37105562500000006
clssm_mcrp;uk_ssp245_10_2090;1;0.075;0.5375;0.5562445833333333;0.3801991666666667
clssm_mcrp;uk_ssp245_10_2090;1;0.05;0.525;0.5494825;0.37538
clssm_mcrp;uk_ssp245_10_2090;1;0.05;0.525;0.5494825;0.37538
clssm_mcrp;uk_ssp245_10_2090;0.975;0.075;0.525;0.542845625;0.37105562500000006
clssm_mcrp;uk_ssp245_10_2090;0.225;0.05;0.1375;0.13411479166666665;0.09193020833333333
clssm_mcrp;uk_ssp245_10_2090;0.05;0.025;0.037500000000000006;0.03356;0.023106250000000005
clssm_mcrp;uk_ssp245_10_2090;0.25;0.075;0.1625;0.1542758333333333;0.10589291666666667
clssm_mcrp;uk_ssp245_10_2090;0.225;0.075;0.15;0.14087687499999998;0.09674937500000001
clssm_mcrp;uk_ssp245_10_2090;0.075;0.075;0.075;0.060483125;0.041888125
clssm_mcrp;uk_ssp245_10_2090;0.825;0.1;0.46249999999999997;0.4692139583333333;0.3210135416666667
clssm_mcrp;uk_ssp245_10_2090;0.575;0.075;0.32499999999999996;0.32846229166666663;0.2247589583333333
clssm_mcrp;uk_ssp245_10_2090;0.025;0;0.0125;0.013398958333333334;0.009143541666666666
clssm_mcrp;uk_ssp245_10_2090;0.25;0.05;0.15;0.14751375;0.10107375
clssm_mcrp;uk_ssp245_10_2090;0.1;0.05;0.07500000000000001;0.06712;0.04621250000000001
