"","freq_mean","pa_mean","pa_sums"
"247",0.40625,0.25,0.25
"248",0.775,0.5,0.5
"249",0.703125,0.5,0.5
"250",0.178125,0,0
"251",0.721875,0.5,0.5
"252",0.646875,0.5,0.5
"253",0.5375,0.25,0.25
"254",0.4625,0,0
"255",0.034375,0,0
"256",0.08125,0,0
"257",0.0875,0,0
"258",0.303125,0,0
"259",0.6375,0.5,0.5
"260",0.096875,0,0
"261",0.009375,0,0
"262",0.00625,0,0
"263",0.009375,0,0
"264",0.3125,0,0
"265",0.703125,0.5,0.5
"266",0.14375,0,0
"267",0.415625,0,0
"268",0.703125,0.5,0.5
"269",0.5625,0.25,0.25
"270",0.68125,0.5,0.5
"271",0.66875,0.5,0.5
"272",0.625,0.5,0.5
"273",0.75,0.5,0.5
"274",0.746875,0.5,0.5
"275",0.76875,0.5,0.5
"276",0.234375,0,0
"277",0.740625,0.5,0.5
"278",0.55,0.25,0.25
"279",0.728125,0.5,0.5
"280",0.3,0,0
"281",0.753125,0.5,0.5
"282",0.671875,0.5,0.5
"283",0.365625,0,0
"284",0.3,0,0
"285",0.365625,0,0
"286",0.234375,0,0
"287",0.3375,0,0
"288",0.20625,0,0
"289",0.003125,0,0
"290",0.009375,0,0
"291",0,0,0
"292",0.509375,0.25,0.25
"293",0.790625,0.5,0.5
"294",0.584375,0.25,0.25
"295",0.271875,0,0
"296",0.534375,0.25,0.25
"297",0.721875,0.5,0.5
"298",0.784375,0.5,0.5
"299",0.759375,0.5,0.5
"300",0.403125,0,0
"301",0.4625,0,0
"302",0.39375,0,0
"303",0.725,0.5,0.5
"304",0.365625,0,0
"305",0.76875,0.5,0.5
"306",0.7625,0.5,0.5
"307",0.759375,0.5,0.5
"308",0.70625,0.5,0.5
"309",0.771875,0.5,0.5
"310",0.50625,0,0
"311",0.55625,0.25,0.25
"312",0.5875,0.5,0.5
"313",0.503125,0.5,0.5
"314",0.09375,0,0
"315",0.7,0.5,0.5
"316",0.1125,0,0
"317",0.021875,0,0
"318",0,0,0
"319",0.7625,0.5,0.5
"320",0.790625,0.5,0.5
"321",0.7875,0.5,0.5
"322",0.484375,0.25,0.25
"323",0.74375,0.5,0.5
"324",0.765625,0.5,0.5
"325",0.271875,0,0
"326",0.33125,0,0
"327",0.7375,0.5,0.5
"328",0.31875,0,0
"329",0.428125,0,0
"330",0.759375,0.5,0.5
"331",0.775,0.5,0.5
"332",0.26875,0,0
"333",0.765625,0.5,0.5
"334",0.765625,0.5,0.5
"335",0.75625,0.5,0.5
"336",0.396875,0,0
"337",0.775,0.5,0.5
"338",0.371875,0,0
"339",0.603125,0.5,0.5
"340",0.73125,0.5,0.5
"341",0.040625,0,0
"342",0.634375,0.25,0.25
