"","variables","AUCtest","lower","upper"
"main_riv","main_riv",0.01869,0.00363359001620905,0.033746409983791
"dist_dn_km","dist_dn_km",0.0583933333333333,0.0182826968109912,0.0985039698556755
"ord_flow","ord_flow",0.381098333333333,0.304962207327549,0.457234459339117
"bio_4","bio_4",0.0269416666666667,0.00449664512163662,0.0493866882116967
"bio_5","bio_5",0.0602383333333333,0.00590651893791636,0.11457014772875
"bio_8","bio_8",0.24768,0.140157029501818,0.355202970498182
"bio_13","bio_13",0.0396866666666667,0.0140834083544143,0.065289924978919
