"","variables","corTest","lower","upper"
"main_riv","main_riv",0.0334033333333333,0.00405270194673185,0.0627539647199348
"dist_dn_km","dist_dn_km",0.121471666666667,0.043524662323419,0.199418671009914
"ord_flow","ord_flow",0.479675,0.375200634560997,0.584149365439003
"bio_4","bio_4",0.0573183333333333,0.0185534113321624,0.0960832553345042
"bio_5","bio_5",0.131785833333333,0.0514675564770123,0.212104110189654
"bio_8","bio_8",0.3077025,0.14012632750501,0.47527867249499
"bio_13","bio_13",0.0777691666666667,0.0337982609275126,0.121740072405821
