"","modelID","AUC","COR","threshold","sensitivity","specificity","TSS","Kappa"
"87",87,0.901,0.671,0.721834811810813,0.76,0.88,0.64,0.64
"88",88,0.859,0.576,0.857262117546694,0.72,0.96,0.68,0.68
"89",89,0.81,0.544,0.69926622686852,0.84,0.76,0.6,0.6
"90",90,0.864,0.62,0.785247511242112,0.76,0.92,0.68,0.68
"91",91,0.854,0.591,0.74499628414398,0.75,0.833,0.583,0.583
"92",92,0.807,0.506,0.867572238044272,0.625,0.917,0.542,0.542
"93",93,0.726,0.432,0.326699771491103,0.875,0.583,0.458,0.458
"94",94,0.811,0.547,0.496936001102963,0.917,0.583,0.5,0.5
"95",95,0.845,0.617,0.325547979550907,0.958,0.667,0.625,0.625
"96",96,0.87,0.641,0.628785810077632,0.792,0.875,0.667,0.667
"97",97,0.903,0.761,0.576460102130804,0.958,0.833,0.792,0.792
"98",98,0.861,0.615,0.82768395604933,0.667,0.958,0.625,0.625
"99",99,0.858,0.643,0.62153277635779,0.875,0.792,0.667,0.667
"100",100,0.806,0.604,0.558997358394614,0.833,0.75,0.583,0.583
"101",101,0.812,0.505,0.886911783171305,0.75,0.875,0.625,0.625
"102",102,0.837,0.559,0.679905523852689,0.75,0.833,0.583,0.583
"103",103,0.899,0.71,0.781139933496222,0.792,0.917,0.708,0.708
"104",104,0.944,0.76,0.809326092719952,0.833,0.917,0.75,0.75
"105",105,0.891,0.67,0.788401164772091,0.833,0.917,0.75,0.75
"106",106,0.785,0.409,0.859254743237426,0.667,0.875,0.542,0.542
"107",107,0.83,0.65,0.623654897561225,0.917,0.792,0.708,0.708
"108",108,0.861,0.639,0.2771743618141,0.917,0.75,0.667,0.667
"109",109,0.84,0.596,0.732758419451908,0.792,0.792,0.583,0.583
"110",110,0.918,0.764,0.506957873868678,0.958,0.792,0.75,0.75
"111",111,0.804,0.572,0.627156693511708,0.833,0.792,0.625,0.625
"112",112,0.896,0.753,0.48703636018887,1,0.792,0.792,0.792
"113",113,0.92,0.724,0.614368302859908,0.917,0.833,0.75,0.75
"114",114,0.877,0.652,0.57601821619345,0.875,0.708,0.583,0.583
"115",115,0.809,0.535,0.797480267662437,0.708,0.833,0.542,0.542
"116",116,0.866,0.689,0.662098518652151,0.958,0.792,0.75,0.75
"117",117,0.74,0.446,0.803671790129068,0.625,0.833,0.458,0.458
"118",118,0.814,0.586,0.772601711002904,0.708,0.875,0.583,0.583
"119",119,0.856,0.615,0.47558497549343,0.875,0.708,0.583,0.583
"120",120,0.771,0.47,0.247761309106547,0.875,0.583,0.458,0.458
