"main_riv","dist_dn_km","ord_flow","x_centroid","y_centroid","bio_4","bio_5","bio_8","bio_13"
60443230,3610.6852173913,5.05217391304348,-6650000,-1750000,117.744580904643,28.4327783584595,22.3990674813588,310.44278717041
60443230,4324.59451476793,4.67088607594937,-7450000,50000,36.8234647115072,25.8026842435201,20.3976704279582,298.882361857096
60443230,4139.19,5.18333333333333,-6050000,-2350000,257.432342529297,33.3196762402852,27.1609743436178,107.817979176839
60444572.7666667,249.769444444444,4.10555555555556,-5050000,-250000,54.7223622639974,32.3261852900187,25.9912967046102,326.276643880208
60443230,4331.37727272727,4.37121212121212,-7550000,-550000,32.9409850438436,30.0735354105631,24.1010632197062,213.519928487142
60460465,7.92857142857143,5,-4650000,-150000,48.4625288645426,31.4542685190837,26.0365032831828,491.969352213542
60443230,5712.03846153846,5.15384615384615,-7150000,-1850000,131.727669270833,16.0425204277039,8.1072211265564,171.603593699137
60443230,2152.3701986755,4.42384105960265,-5550000,-1550000,85.5464548746745,32.5366755803426,24.9760685602824,350.017597452799
60443230,359.111111111111,4.46666666666667,-5150000,-150000,62.7212725321452,31.7101397196452,25.3069173177083,315.792555745443
60443230,2517.46,5,-5450000,-1850000,111.95414835612,31.7496047973633,25.2578060150146,236.887990824382
60443230,1957.88198198198,3.91891891891892,-5650000,-1350000,52.2817606925964,33.6994252204895,25.0515740712484,335.105236053467
60443230,2370.28181818182,5,-5550000,-1750000,88.5411653518677,31.806157986323,24.2462055683136,339.60878499349
60443230,2138.74666666667,4.84444444444444,-5750000,-1150000,38.175040108817,33.8079053606306,25.5535745348249,322.30903843471
60443230,5505.60066225166,4.36423841059603,-7150000,-1650000,75.1767625172933,20.8276978810628,12.8184496243795,160.821023050944
60443230,647.425324675325,4.79220779220779,-5250000,-450000,54.2902512868245,31.3262608846029,25.0231447219849,304.25842183431
60443230,3912.74769230769,4.81538461538462,-5750000,-1950000,157.638263375419,33.5852624075753,26.65875113351,265.414219011579
60443230,1457.33021582734,4.39568345323741,-5050000,-1150000,34.3167963663737,34.1525974273682,25.3049822489421,313.007138061523
60443230,3771.91162790698,5.09302325581395,-6650000,-1850000,121.277227783203,21.8753481864929,15.2257800579071,206.814187113444
60443230,1335.58,5.5,-5550000,250000,55.7333699862162,32.1016690731049,25.603049993515,338.681546529134
60443230,4357.46478873239,4.8169014084507,-6150000,-2350000,222.588361104329,29.5691479841868,23.5598843097687,129.50092569987
60443230,3725.025,4.80263157894737,-5750000,-1850000,132.641041128976,32.5334086826869,25.5545603615897,289.775385393415
60443230,5797.2527027027,4.48648648648649,-7350000,-1450000,102.415289815267,12.5924989064535,6.17381513118744,150.329507954915
60443230,4528.75601265823,4.46518987341772,-7350000,-1050000,28.4954259395599,29.8184745311737,23.2399988969167,269.49137878418
60443230,3966.01,5.7,-5850000,-2050000,182.047468821208,33.3234351476034,26.6040341854095,208.545101165771
60443230,2601.54427860697,4.59701492537313,-6050000,450000,47.3845765431722,30.978945350647,24.5000691095988,364.186205037435
60443230,1416.87745098039,4.60294117647059,-5350000,-950000,47.4854377746582,34.2809175763811,25.4067358289446,343.50237688337
