species;scenario;rbf;svm;mda;consensus;wmean_auc;wmean_tss
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;mr_ssp245_10_2090;0.1;0;0;0.03333333333333333;0.029238333333333335;0.022641666666666668
clssm_mcrp;mr_ssp245_10_2090;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0.1;0;0;0.03333333333333333;0.029238333333333335;0.022641666666666668
clssm_mcrp;mr_ssp245_10_2090;0.1;0;0;0.03333333333333333;0.029238333333333335;0.022641666666666668
clssm_mcrp;mr_ssp245_10_2090;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;mr_ssp245_10_2090;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;mr_ssp245_10_2090;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0.1;0;0;0.03333333333333333;0.029238333333333335;0.022641666666666668
clssm_mcrp;mr_ssp245_10_2090;0.1;0;0;0.03333333333333333;0.029238333333333335;0.022641666666666668
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;mr_ssp245_10_2090;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;mr_ssp245_10_2090;0.025;0;0.125;0.049999999999999996;0.042400208333333335;0.031608333333333336
clssm_mcrp;mr_ssp245_10_2090;0.3;0.2;0.9;0.4666666666666666;0.3990208333333333;0.30032166666666665
